STUDBME2,POCO F3,Daisy,aya2,aya1,CAEDS,Rannnia,"Ahmed Galal ",El-lab,Redmi,y9,badra22,YMEM,RehabLab,Ayazz,CMP-lab1,TP-LINK_IE,CMP_LAB3,CMP_LAB2,CMP_LAB4,Redmi Note 7,Farouk,01118680688,location
-52,-77,-56,-55,-79,-100,-67,-66,-50,-100,-72,-46,-54,-100,-46,-72,-100,-100,-100,-100,-74,-100,-100,EL 11
-51,-48,-56,-50,-72,-87,-100,-69,-100,-100,-84,-47,-57,-100,-51,-100,-100,-73,-100,-100,-100,-100,-100,EL 11
-52,-54,-56,-58,-100,-94,-62,-65,-100,-100,-81,-47,-60,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-52,-52,-68,-50,-77,-83,-65,-68,-63,-100,-83,-53,-60,-85,-51,-73,-100,-100,-100,-100,-100,-100,-100,EL 11
-54,-57,-55,-57,-77,-100,-69,-58,-65,-100,-78,-100,-69,-100,-58,-75,-100,-72,-100,-72,-100,-100,-100,EL 11
-50,-53,-55,-54,-84,-100,-63,-65,-52,-100,-79,-54,-54,-86,-100,-100,-100,-100,-100,-74,-100,-100,-100,EL 11
-50,-56,-59,-51,-78,-93,-55,-50,-54,-100,-81,-54,-54,-85,-54,-100,-100,-71,-73,-73,-100,-100,-100,EL 11
-57,-56,-57,-54,-80,-100,-56,-64,-56,-100,-75,-55,-56,-100,-54,-100,-100,-74,-76,-73,-100,-100,-100,EL 11
-67,-74,-55,-59,-78,-100,-65,-53,-59,-100,-82,-51,-54,-100,-54,-100,-100,-100,-100,-100,-100,-100,-84,EL 11
-57,-65,-57,-53,-74,-88,-100,-100,-61,-72,-77,-53,-54,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,EL 11
-59,-54,-55,-53,-80,-100,-100,-55,-54,-73,-84,-52,-63,-100,-56,-74,-100,-73,-100,-76,-100,-100,-100,EL 11
-52,-54,-55,-62,-79,-88,-59,-55,-56,-71,-84,-55,-57,-100,-43,-100,-100,-100,-100,-100,-100,-85,-100,EL 11
-58,-59,-65,-66,-74,-86,-69,-100,-61,-100,-78,-47,-66,-100,-55,-74,-100,-69,-69,-100,-100,-100,-100,EL 11
-56,-54,-59,-60,-74,-100,-100,-53,-56,-100,-79,-52,-65,-100,-53,-100,-100,-75,-100,-72,-100,-100,-100,EL 11
-62,-57,-60,-53,-74,-87,-67,-59,-54,-100,-74,-53,-69,-100,-54,-70,-100,-100,-78,-100,-100,-100,-100,EL 11
-62,-51,-63,-57,-75,-88,-65,-100,-48,-100,-79,-55,-60,-100,-100,-100,-100,-79,-81,-100,-100,-100,-100,EL 11
-56,-57,-63,-71,-80,-100,-100,-65,-62,-100,-77,-64,-64,-100,-49,-100,-100,-73,-100,-74,-100,-100,-100,EL 11
-57,-54,-63,-62,-85,-100,-65,-60,-56,-100,-81,-48,-57,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-63,-50,-65,-68,-81,-100,-66,-55,-56,-100,-82,-55,-59,-100,-60,-100,-100,-72,-74,-100,-100,-100,-100,EL 11
-58,-51,-65,-59,-81,-100,-69,-51,-59,-77,-80,-59,-59,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,EL 11
-63,-48,-63,-63,-78,-100,-62,-58,-57,-100,-78,-56,-60,-100,-55,-100,-100,-72,-73,-72,-100,-79,-100,EL 11
-59,-51,-55,-62,-80,-100,-64,-60,-55,-100,-75,-58,-70,-86,-59,-78,-100,-76,-75,-75,-100,-100,-100,EL 11
-56,-46,-65,-65,-81,-100,-100,-58,-62,-100,-100,-58,-70,-100,-54,-100,-100,-100,-100,-77,-100,-100,-100,EL 11
-56,-48,-58,-64,-78,-100,-66,-61,-62,-72,-91,-66,-57,-100,-58,-100,-100,-77,-76,-80,-100,-79,-100,EL 11
-57,-46,-60,-63,-78,-100,-59,-55,-54,-100,-81,-51,-64,-100,-100,-68,-100,-72,-75,-100,-100,-100,-100,EL 11
-57,-58,-62,-56,-79,-100,-67,-56,-56,-100,-79,-58,-58,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-57,-58,-61,-63,-78,-100,-71,-50,-51,-69,-100,-58,-61,-100,-58,-100,-100,-100,-73,-100,-100,-100,-100,EL 11
