aya2,Daisy,aya1,STUDBME2,Ayazz,"Ahmed Galal ",sss,Redmi,01141472186,El-lab,POCO F3,badra22,WE_0CF411,YMEM,eego024,sheren,Mohamed���s iPhone,CMP-lab1,TP-LINK_IE,CMP_LAB4,Etisalat 4G iModem-8B2D,CMP_LAB3,madoo,CMP_LAB1,RehabLab,location
-60,-44,-65,-51,-57,-68,-100,-100,-100,-100,-65,-57,-100,-60,-100,-100,-100,-100,-100,-100,-100,-71,-67,-100,-81,EL 12
-57,-41,-57,-58,-51,-67,-59,-58,-100,-100,-73,-58,-67,-52,-100,-68,-75,-100,-100,-67,-100,-100,-67,-100,-100,EL 12
-64,-56,-62,-46,-48,-100,-64,-59,-100,-66,-71,-66,-65,-56,-100,-68,-88,-72,-100,-100,-100,-100,-60,-100,-100,EL 12
-62,-54,-64,-46,-55,-100,-52,-59,-100,-100,-71,-66,-100,-100,-74,-100,-100,-100,-100,-63,-100,-100,-59,-100,-100,EL 12
-66,-48,-61,-44,-51,-100,-53,-55,-100,-100,-71,-55,-62,-100,-100,-60,-82,-100,-100,-60,-100,-59,-64,-59,-100,EL 12
-72,-58,-59,-38,-57,-100,-100,-61,-100,-66,-64,-100,-100,-57,-77,-63,-84,-64,-100,-100,-100,-78,-77,-58,-100,EL 12
-66,-49,-74,-49,-100,-100,-52,-100,-100,-56,-72,-60,-100,-52,-75,-100,-81,-100,-100,-100,-100,-66,-74,-100,-79,EL 12
-64,-47,-67,-51,-76,-100,-56,-59,-100,-100,-71,-64,-100,-56,-100,-100,-100,-66,-100,-100,-100,-100,-69,-62,-100,EL 12
-56,-52,-73,-48,-48,-74,-59,-100,-100,-70,-72,-55,-100,-56,-76,-69,-100,-72,-100,-100,-72,-72,-100,-100,-100,EL 12
-63,-44,-100,-47,-48,-58,-58,-100,-100,-61,-65,-60,-100,-64,-100,-100,-72,-100,-100,-70,-68,-68,-100,-100,-100,EL 12
-67,-44,-64,-46,-49,-64,-57,-100,-100,-65,-61,-63,-71,-55,-69,-100,-70,-100,-100,-100,-100,-100,-72,-70,-100,EL 12
-55,-44,-67,-53,-45,-69,-59,-100,-100,-67,-71,-56,-100,-53,-70,-100,-78,-100,-100,-100,-100,-100,-73,-100,-100,EL 12
-61,-48,-60,-50,-57,-100,-60,-100,-100,-100,-63,-69,-100,-60,-77,-100,-100,-100,-100,-75,-100,-100,-68,-77,-78,EL 12
-58,-45,-61,-57,-50,-58,-61,-100,-100,-59,-81,-58,-100,-57,-71,-71,-76,-74,-100,-100,-100,-100,-100,-100,-100,EL 12
-53,-43,-68,-51,-49,-59,-65,-67,-100,-56,-63,-65,-100,-49,-74,-100,-75,-100,-100,-100,-100,-100,-76,-100,-100,EL 12
-54,-39,-69,-43,-44,-62,-52,-63,-100,-62,-71,-57,-100,-52,-100,-100,-82,-100,-100,-100,-100,-100,-71,-100,-100,EL 12
-54,-48,-73,-50,-47,-100,-67,-100,-100,-57,-65,-61,-74,-58,-72,-71,-78,-100,-100,-100,-100,-100,-74,-69,-100,EL 12
-57,-57,-79,-51,-55,-100,-54,-62,-100,-56,-73,-54,-100,-63,-100,-100,-75,-100,-100,-66,-100,-100,-100,-100,-100,EL 12
-55,-35,-67,-50,-47,-66,-49,-66,-100,-100,-67,-59,-100,-58,-100,-100,-78,-64,-100,-70,-73,-100,-68,-100,-100,EL 12
-64,-53,-59,-48,-50,-100,-52,-67,-100,-70,-70,-55,-70,-57,-85,-65,-100,-70,-100,-100,-100,-100,-67,-66,-100,EL 12
-63,-41,-59,-43,-49,-100,-100,-61,-100,-100,-64,-69,-100,-56,-100,-63,-75,-63,-100,-100,-100,-68,-74,-100,-100,EL 12
-64,-48,-68,-46,-48,-100,-50,-100,-100,-57,-66,-59,-100,-49,-100,-100,-81,-100,-100,-100,-71,-100,-100,-100,-100,EL 12
-55,-50,-70,-46,-43,-100,-54,-100,-100,-100,-82,-66,-100,-56,-87,-63,-87,-100,-100,-100,-75,-69,-76,-67,-100,EL 12
-61,-42,-65,-45,-42,-64,-47,-100,-100,-61,-65,-55,-100,-54,-88,-71,-82,-100,-100,-100,-100,-100,-72,-100,-100,EL 12
-53,-45,-70,-49,-100,-100,-100,-100,-100,-60,-66,-100,-100,-60,-100,-100,-82,-100,-100,-100,-75,-69,-100,-69,-100,EL 12
-56,-49,-77,-45,-40,-64,-45,-68,-100,-57,-64,-66,-72,-49,-100,-73,-100,-100,-100,-100,-100,-74,-100,-100,-100,EL 12
-60,-46,-72,-48,-52,-67,-50,-68,-100,-100,-61,-56,-100,-52,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,EL 12
-57,-52,-73,-49,-49,-100,-47,-100,-100,-100,-64,-56,-100,-58,-100,-100,-71,-100,-100,-71,-77,-100,-100,-100,-100,EL 12
-59,-54,-77,-57,-43,-62,-100,-100,-100,-55,-74,-59,-100,-49,-79,-100,-71,-100,-100,-100,-79,-74,-78,-100,-100,EL 12
-57,-51,-74,-49,-49,-66,-61,-100,-100,-54,-62,-63,-74,-51,-100,-72,-73,-100,-100,-73,-100,-100,-74,-73,-100,EL 12
-70,-51,-79,-60,-56,-71,-64,-100,-100,-55,-63,-70,-100,-55,-69,-100,-74,-100,-100,-74,-100,-100,-100,-73,-100,EL 12
-68,-52,-69,-48,-57,-70,-60,-71,-100,-100,-70,-59,-100,-57,-69,-100,-70,-100,-100,-100,-100,-67,-69,-69,-100,EL 12
-66,-55,-76,-50,-53,-100,-60,-100,-100,-65,-69,-70,-72,-51,-100,-65,-69,-100,-100,-72,-100,-100,-100,-100,-100,EL 12
-69,-56,-69,-51,-47,-68,-54,-71,-100,-66,-64,-68,-100,-59,-100,-100,-70,-75,-100,-69,-75,-100,-70,-100,-100,EL 12
-73,-59,-68,-52,-100,-68,-67,-100,-100,-66,-66,-62,-100,-53,-74,-68,-71,-100,-100,-100,-100,-71,-73,-100,-100,EL 12
-71,-52,-73,-51,-53,-68,-60,-100,-100,-65,-74,-62,-100,-57,-73,-68,-74,-100,-100,-72,-100,-100,-100,-100,-100,EL 12
-62,-48,-65,-49,-48,-66,-63,-100,-100,-65,-68,-57,-100,-52,-70,-100,-71,-100,-100,-100,-100,-100,-75,-69,-100,EL 12
-61,-46,-76,-49,-48,-63,-65,-65,-100,-66,-67,-66,-100,-56,-74,-68,-80,-72,-100,-100,-100,-68,-69,-100,-100,EL 12
-61,-59,-75,-51,-49,-100,-58,-74,-100,-65,-66,-64,-100,-47,-100,-63,-66,-100,-100,-69,-100,-67,-70,-100,-100,EL 12
-62,-50,-80,-54,-46,-77,-100,-100,-76,-100,-74,-57,-100,-56,-79,-100,-69,-71,-100,-100,-78,-100,-100,-100,-83,EL 12
-60,-57,-78,-56,-53,-100,-100,-100,-100,-100,-70,-64,-100,-59,-74,-79,-72,-71,-100,-100,-100,-75,-79,-100,-100,EL 12
-65,-56,-73,-51,-44,-69,-65,-68,-100,-73,-67,-60,-100,-71,-100,-71,-74,-100,-100,-69,-100,-100,-75,-100,-100,EL 12
-57,-65,-73,-58,-43,-66,-53,-100,-100,-60,-62,-56,-100,-50,-100,-100,-70,-100,-100,-100,-100,-100,-76,-100,-100,EL 12
-58,-48,-80,-49,-49,-58,-56,-69,-100,-63,-67,-54,-100,-51,-81,-72,-74,-69,-100,-100,-73,-100,-76,-100,-100,EL 12
-57,-56,-75,-58,-56,-63,-58,-100,-92,-61,-67,-52,-100,-50,-81,-100,-82,-100,-100,-100,-100,-100,-100,-73,-85,EL 12
-52,-51,-100,-71,-49,-66,-46,-100,-100,-60,-56,-47,-100,-56,-82,-100,-100,-100,-100,-100,-74,-100,-72,-77,-100,EL 12
-54,-59,-81,-56,-55,-70,-48,-70,-100,-50,-58,-57,-100,-54,-75,-100,-73,-76,-100,-71,-69,-70,-100,-100,-100,EL 12
-47,-65,-65,-55,-44,-73,-73,-77,-86,-58,-66,-52,-100,-64,-100,-100,-78,-100,-100,-100,-100,-100,-77,-100,-100,EL 12
-40,-56,-76,-55,-47,-69,-51,-100,-100,-54,-60,-53,-100,-62,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,EL 12
-50,-57,-78,-49,-46,-65,-53,-100,-100,-100,-59,-51,-79,-51,-79,-100,-100,-77,-100,-69,-100,-68,-79,-100,-100,EL 12
-46,-54,-82,-52,-50,-69,-50,-68,-100,-58,-58,-55,-79,-57,-100,-76,-100,-100,-100,-100,-100,-100,-100,-80,-100,EL 12
-51,-60,-100,-53,-100,-56,-100,-100,-100,-50,-55,-58,-100,-57,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,EL 12
-52,-58,-77,-57,-51,-100,-59,-100,-100,-100,-54,-59,-76,-57,-76,-73,-100,-100,-100,-71,-100,-100,-100,-100,-100,EL 12
-68,-55,-65,-52,-53,-100,-61,-100,-100,-54,-64,-68,-100,-47,-100,-72,-100,-100,-100,-72,-74,-100,-100,-72,-100,EL 12
-59,-59,-72,-58,-52,-64,-60,-100,-100,-100,-59,-57,-100,-47,-84,-100,-100,-100,-100,-100,-77,-100,-100,-100,-86,EL 12
