STUDBME2,aya1,Farouk,CMP_LAB1,CUFE,CMP_LAB3,CMP_LAB4,CMP_LAB2,TP-LINK_AP_7094,RehabLab,sheren,y9,Daisy,STUDBME1,YMEM,eego024,Maisaa,STUDBME3,CMP-lab1,WE_0CF411,aya2,Ayazz,location
-60,-100,-100,-37,-54,-36,-37,-35,-100,-67,-50,-100,-71,-100,-72,-100,-100,-64,-70,-100,-100,-100,HW 33
-59,-100,-61,-38,-100,-38,-41,-39,-100,-67,-52,-49,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,HW 33
-56,-100,-51,-35,-58,-39,-36,-37,-100,-66,-51,-55,-63,-100,-82,-88,-100,-64,-100,-100,-100,-70,HW 33
-62,-69,-54,-49,-55,-48,-49,-50,-74,-100,-100,-100,-68,-100,-100,-100,-100,-71,-100,-100,-100,-100,HW 33
-54,-68,-51,-45,-58,-46,-45,-46,-69,-100,-51,-50,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-49,-100,-57,-46,-51,-47,-100,-100,-100,-65,-48,-50,-68,-100,-100,-100,-100,-69,-100,-100,-100,-100,HW 33
-47,-67,-49,-44,-49,-45,-45,-45,-71,-69,-51,-100,-64,-100,-100,-83,-77,-100,-100,-100,-83,-100,HW 33
-49,-71,-58,-46,-51,-45,-45,-44,-100,-66,-49,-50,-72,-100,-100,-100,-78,-73,-100,-100,-73,-100,HW 33
-54,-79,-53,-50,-51,-49,-49,-50,-73,-63,-48,-50,-71,-65,-73,-83,-100,-82,-100,-100,-100,-100,HW 33
-52,-69,-51,-47,-57,-50,-51,-46,-67,-68,-51,-48,-67,-100,-100,-100,-100,-76,-72,-100,-100,-100,HW 33
-54,-66,-49,-49,-49,-48,-100,-100,-66,-55,-48,-49,-71,-100,-100,-100,-81,-72,-75,-100,-87,-100,HW 33
-54,-67,-49,-100,-51,-49,-50,-100,-69,-68,-50,-53,-65,-100,-100,-100,-79,-100,-100,-100,-79,-100,HW 33
-45,-68,-46,-44,-52,-47,-45,-45,-73,-69,-50,-46,-75,-100,-100,-82,-79,-76,-70,-100,-100,-100,HW 33
-48,-62,-64,-52,-51,-52,-53,-52,-100,-67,-54,-100,-68,-100,-100,-100,-83,-73,-72,-100,-79,-100,HW 33
-52,-65,-54,-45,-51,-46,-45,-44,-67,-67,-48,-49,-65,-63,-100,-100,-100,-70,-69,-100,-100,-100,HW 33
-49,-71,-55,-46,-55,-47,-48,-48,-66,-67,-52,-46,-72,-69,-100,-90,-100,-78,-71,-100,-86,-100,HW 33
-51,-68,-57,-46,-49,-46,-46,-45,-70,-71,-100,-52,-68,-100,-100,-100,-80,-73,-100,-100,-85,-100,HW 33
-52,-68,-51,-50,-55,-48,-50,-49,-67,-100,-54,-55,-70,-100,-100,-100,-100,-76,-100,-100,-84,-100,HW 33
-47,-67,-64,-51,-56,-49,-100,-75,-77,-100,-49,-48,-66,-100,-100,-100,-77,-73,-72,-100,-80,-100,HW 33
-48,-65,-58,-100,-59,-49,-100,-52,-100,-64,-51,-53,-64,-100,-100,-100,-100,-100,-100,-72,-75,-100,HW 33
-49,-65,-56,-46,-64,-45,-45,-44,-77,-100,-53,-43,-58,-60,-100,-100,-85,-100,-73,-100,-69,-100,HW 33
-47,-65,-63,-43,-60,-100,-100,-45,-100,-100,-52,-100,-59,-69,-100,-100,-100,-81,-70,-100,-71,-100,HW 33
-76,-61,-58,-43,-57,-44,-44,-44,-100,-100,-50,-42,-64,-100,-100,-100,-72,-75,-71,-100,-100,-100,HW 33
-51,-68,-56,-46,-57,-46,-46,-47,-100,-67,-44,-50,-57,-55,-100,-100,-81,-66,-66,-72,-100,-100,HW 33
-49,-70,-60,-44,-57,-46,-45,-46,-100,-60,-47,-44,-66,-100,-100,-100,-100,-78,-66,-100,-100,-100,HW 33
-50,-70,-50,-46,-59,-47,-47,-79,-76,-70,-50,-100,-65,-100,-100,-100,-79,-100,-81,-100,-84,-100,HW 33
-50,-66,-49,-49,-56,-47,-45,-51,-76,-100,-48,-54,-66,-60,-100,-100,-82,-82,-100,-72,-76,-100,HW 33
-48,-69,-56,-51,-83,-100,-100,-54,-68,-100,-54,-47,-74,-100,-100,-100,-100,-70,-68,-100,-73,-100,HW 33
-63,-67,-54,-100,-53,-45,-46,-48,-100,-62,-47,-52,-69,-100,-100,-100,-82,-72,-100,-100,-79,-100,HW 33
-53,-63,-56,-46,-52,-100,-48,-100,-71,-62,-56,-50,-74,-100,-100,-100,-100,-100,-69,-100,-100,-100,HW 33
-51,-68,-53,-50,-54,-48,-48,-48,-70,-69,-49,-52,-73,-100,-100,-100,-100,-76,-100,-76,-100,-100,HW 33
-58,-74,-53,-47,-53,-51,-51,-52,-68,-60,-44,-50,-66,-100,-100,-100,-100,-100,-71,-100,-100,-100,HW 33
-57,-69,-46,-43,-55,-45,-43,-43,-100,-63,-46,-56,-68,-100,-100,-100,-83,-76,-70,-100,-100,-100,HW 33
-53,-68,-56,-49,-54,-100,-100,-51,-72,-68,-54,-53,-64,-100,-100,-100,-100,-100,-66,-100,-100,-100,HW 33
-53,-71,-61,-40,-50,-45,-44,-43,-100,-66,-50,-100,-63,-100,-100,-100,-100,-74,-71,-100,-100,-100,HW 33
-52,-65,-58,-44,-48,-43,-45,-43,-64,-66,-53,-46,-66,-61,-100,-100,-87,-100,-62,-100,-100,-100,HW 33
-50,-74,-57,-50,-48,-100,-100,-49,-100,-64,-51,-52,-62,-60,-100,-100,-74,-85,-68,-100,-71,-100,HW 33
-56,-68,-48,-81,-55,-45,-49,-46,-100,-100,-49,-49,-62,-100,-100,-100,-85,-74,-69,-100,-75,-100,HW 33
-57,-59,-57,-50,-59,-45,-52,-51,-100,-100,-47,-52,-56,-64,-100,-100,-80,-74,-100,-100,-100,-100,HW 33
-54,-69,-52,-52,-53,-100,-100,-52,-100,-100,-53,-51,-74,-100,-100,-100,-83,-81,-100,-100,-89,-100,HW 33
-50,-70,-57,-47,-52,-47,-47,-49,-74,-66,-54,-100,-73,-100,-100,-100,-76,-100,-100,-100,-100,-100,HW 33
-51,-67,-49,-48,-58,-47,-44,-46,-69,-73,-61,-52,-66,-100,-100,-91,-100,-100,-76,-100,-100,-100,HW 33
-61,-75,-50,-46,-59,-48,-48,-49,-70,-75,-52,-64,-63,-100,-100,-100,-100,-100,-70,-75,-100,-100,HW 33
-58,-67,-46,-49,-61,-49,-48,-49,-66,-67,-54,-49,-70,-100,-100,-100,-86,-88,-100,-100,-100,-100,HW 33
-56,-70,-48,-63,-100,-100,-58,-100,-100,-70,-58,-60,-69,-61,-100,-100,-84,-81,-74,-100,-79,-100,HW 33
-49,-70,-54,-56,-58,-53,-100,-54,-72,-74,-50,-60,-68,-64,-78,-100,-76,-100,-100,-100,-82,-100,HW 33
-60,-85,-49,-53,-56,-50,-50,-51,-100,-100,-100,-57,-61,-100,-100,-100,-100,-100,-73,-100,-84,-100,HW 33
-55,-71,-55,-57,-55,-58,-54,-100,-71,-61,-50,-52,-66,-100,-100,-100,-80,-100,-74,-100,-84,-81,HW 33
-54,-67,-54,-54,-56,-55,-55,-53,-74,-68,-46,-57,-76,-64,-100,-100,-100,-100,-75,-100,-84,-100,HW 33
-54,-71,-53,-57,-54,-59,-63,-62,-100,-100,-100,-56,-71,-69,-100,-100,-100,-85,-70,-100,-100,-100,HW 33
-57,-71,-54,-58,-56,-54,-58,-51,-69,-100,-55,-100,-76,-100,-100,-100,-85,-100,-74,-100,-89,-100,HW 33
-52,-72,-47,-49,-57,-50,-50,-49,-100,-74,-52,-63,-65,-100,-100,-100,-100,-100,-76,-75,-100,-100,HW 33
-49,-65,-46,-100,-100,-52,-51,-100,-68,-100,-58,-52,-64,-100,-100,-100,-84,-87,-71,-100,-87,-100,HW 33
-51,-70,-54,-61,-100,-100,-55,-59,-100,-100,-100,-70,-64,-100,-100,-100,-83,-100,-68,-100,-100,-100,HW 33
-56,-67,-47,-52,-55,-53,-51,-52,-72,-72,-53,-58,-69,-100,-100,-100,-100,-100,-69,-100,-100,-100,HW 33
-53,-68,-48,-100,-100,-48,-48,-100,-68,-65,-50,-57,-64,-100,-100,-100,-100,-100,-72,-100,-100,-75,HW 33
-55,-71,-49,-51,-54,-45,-49,-45,-72,-69,-51,-54,-73,-100,-100,-100,-80,-100,-70,-100,-82,-74,HW 33
-60,-70,-57,-80,-55,-54,-53,-53,-100,-100,-56,-58,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-58,-70,-51,-100,-100,-50,-51,-100,-100,-63,-49,-54,-57,-68,-100,-100,-79,-80,-100,-100,-100,-100,HW 33
-49,-67,-47,-52,-58,-100,-44,-52,-72,-71,-56,-100,-65,-100,-100,-100,-100,-73,-100,-100,-77,-100,HW 33
-52,-73,-51,-77,-64,-56,-55,-55,-70,-69,-49,-52,-73,-71,-100,-100,-74,-78,-74,-100,-100,-100,HW 33
-55,-62,-47,-47,-53,-46,-46,-48,-76,-100,-57,-100,-64,-66,-100,-100,-77,-79,-100,-100,-100,-100,HW 33
-49,-60,-53,-47,-54,-48,-50,-49,-68,-70,-53,-53,-67,-100,-100,-89,-74,-80,-66,-100,-100,-100,HW 33
-47,-61,-51,-52,-50,-47,-51,-46,-65,-61,-49,-50,-58,-100,-100,-100,-100,-76,-64,-74,-100,-100,HW 33
-57,-67,-72,-49,-59,-49,-50,-51,-72,-72,-51,-45,-71,-58,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-56,-66,-52,-52,-51,-47,-49,-49,-100,-100,-55,-51,-66,-100,-100,-82,-100,-100,-71,-100,-77,-100,HW 33
-74,-59,-58,-48,-58,-47,-43,-49,-100,-100,-46,-51,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-57,-63,-57,-46,-53,-51,-47,-51,-100,-64,-49,-53,-64,-100,-100,-100,-100,-100,-100,-100,-84,-100,HW 33
-72,-68,-51,-49,-58,-51,-46,-50,-100,-69,-49,-100,-61,-100,-100,-100,-79,-100,-100,-100,-100,-100,HW 33
-53,-68,-64,-49,-56,-48,-52,-48,-75,-73,-49,-100,-72,-100,-100,-100,-100,-73,-100,-100,-100,-76,HW 33
-54,-68,-56,-43,-58,-42,-42,-43,-100,-70,-52,-49,-67,-57,-100,-100,-100,-100,-71,-100,-100,-100,HW 33
-56,-70,-58,-44,-57,-45,-43,-43,-69,-68,-50,-50,-61,-57,-100,-100,-100,-72,-100,-100,-100,-100,HW 33
-57,-70,-51,-100,-100,-40,-100,-39,-100,-64,-49,-100,-67,-64,-72,-100,-100,-63,-71,-100,-100,-100,HW 33
-52,-64,-56,-46,-60,-46,-46,-45,-100,-63,-53,-52,-60,-66,-100,-100,-100,-74,-71,-100,-74,-69,HW 33
-46,-68,-62,-40,-57,-41,-41,-42,-100,-100,-50,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-47,-68,-55,-32,-100,-33,-34,-30,-74,-57,-51,-54,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-55,-64,-56,-43,-100,-100,-42,-43,-100,-100,-52,-52,-61,-56,-100,-100,-100,-70,-100,-100,-100,-100,HW 33
-50,-67,-46,-47,-56,-48,-46,-46,-69,-65,-51,-100,-62,-100,-100,-100,-79,-68,-100,-100,-100,-100,HW 33
-48,-68,-54,-100,-100,-50,-100,-51,-100,-100,-50,-49,-64,-59,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-44,-68,-50,-50,-56,-100,-49,-100,-69,-100,-51,-47,-64,-100,-100,-100,-100,-100,-69,-75,-100,-100,HW 33
-73,-69,-56,-53,-55,-52,-50,-50,-73,-70,-55,-100,-65,-100,-100,-100,-77,-77,-100,-100,-82,-100,HW 33
-55,-59,-55,-100,-100,-53,-50,-56,-100,-100,-100,-100,-65,-68,-100,-83,-100,-100,-100,-100,-80,-100,HW 33
-53,-68,-51,-50,-55,-50,-51,-45,-100,-100,-50,-100,-64,-66,-100,-100,-81,-100,-100,-74,-100,-100,HW 33
-54,-64,-58,-50,-54,-53,-51,-45,-76,-66,-51,-100,-68,-69,-100,-100,-75,-100,-74,-100,-100,-100,HW 33
-57,-71,-53,-52,-59,-52,-54,-51,-100,-72,-100,-100,-68,-100,-79,-89,-79,-100,-76,-100,-100,-78,HW 33
-58,-73,-51,-52,-63,-100,-52,-100,-100,-76,-60,-100,-68,-69,-100,-100,-100,-100,-73,-100,-100,-100,HW 33
-68,-74,-50,-53,-60,-51,-52,-52,-67,-72,-56,-100,-72,-72,-100,-100,-82,-100,-76,-100,-100,-100,HW 33
-57,-76,-50,-51,-57,-48,-47,-48,-64,-71,-58,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 33
-61,-71,-49,-47,-100,-46,-48,-100,-66,-75,-53,-100,-67,-71,-100,-100,-74,-100,-67,-72,-100,-100,HW 33
-59,-77,-56,-53,-61,-53,-54,-54,-100,-75,-47,-100,-77,-100,-100,-100,-100,-100,-69,-100,-100,-100,HW 33
