aya2,Daisy,aya1,STUDBME2,y9,Farouk,CMP_LAB3,CUFE,CMP_LAB1,CMP_LAB4,CMP_LAB2,STUDBME3,sheren,RehabLab,eego024,STUDBME1,Redmi,CMP-lab1,El-lab,Maisaa,POCO F3,YMEM,WE_0CF411,Ayazz,BMEStudentLab3,location
-83,-67,-63,-51,-56,-62,-50,-67,-51,-52,-53,-75,-51,-72,-81,-100,-100,-100,-100,-75,-86,-100,-73,-100,-100,HW 32
-69,-62,-67,-54,-44,-53,-49,-57,-50,-49,-48,-74,-49,-56,-84,-100,-57,-100,-100,-100,-84,-72,-71,-100,-100,HW 32
-77,-70,-64,-67,-56,-56,-100,-67,-46,-48,-100,-100,-48,-68,-74,-100,-100,-67,-100,-75,-83,-73,-100,-100,-100,HW 32
-74,-60,-57,-51,-48,-62,-52,-56,-52,-53,-54,-79,-44,-72,-80,-100,-54,-68,-75,-100,-88,-100,-71,-100,-100,HW 32
-77,-72,-67,-50,-52,-64,-55,-60,-54,-52,-54,-100,-54,-100,-100,-100,-54,-100,-100,-85,-79,-100,-100,-100,-100,HW 32
-81,-59,-81,-51,-48,-68,-100,-63,-50,-54,-100,-100,-100,-100,-100,-100,-60,-74,-100,-73,-77,-100,-100,-100,-100,HW 32
-81,-66,-64,-50,-48,-51,-53,-58,-55,-49,-51,-100,-44,-100,-100,-100,-64,-69,-77,-72,-83,-100,-70,-100,-100,HW 32
-75,-53,-63,-48,-48,-58,-61,-60,-60,-59,-59,-100,-51,-74,-78,-100,-64,-100,-100,-78,-80,-74,-71,-75,-100,HW 32
-74,-63,-56,-47,-51,-60,-52,-64,-51,-53,-54,-100,-48,-64,-100,-100,-57,-62,-73,-81,-76,-65,-100,-100,-100,HW 32
-82,-55,-60,-52,-45,-55,-56,-100,-56,-56,-56,-85,-55,-100,-100,-100,-55,-67,-70,-83,-79,-100,-100,-100,-91,HW 32
-74,-63,-60,-46,-45,-60,-53,-100,-100,-51,-100,-100,-49,-69,-100,-100,-61,-64,-72,-100,-79,-100,-100,-79,-100,HW 32
-74,-56,-67,-47,-55,-100,-56,-68,-55,-56,-55,-100,-58,-70,-100,-100,-65,-72,-100,-84,-73,-72,-100,-100,-100,HW 32
-70,-63,-58,-44,-53,-60,-52,-61,-53,-53,-51,-100,-53,-100,-68,-64,-60,-100,-74,-100,-70,-100,-100,-100,-100,HW 32
-80,-64,-63,-47,-53,-100,-52,-69,-100,-100,-100,-100,-60,-100,-100,-59,-53,-63,-68,-100,-100,-63,-70,-71,-100,HW 32
-71,-65,-64,-53,-54,-57,-51,-59,-51,-48,-51,-100,-53,-100,-78,-100,-54,-64,-75,-100,-75,-72,-100,-76,-100,HW 32
-73,-60,-66,-55,-61,-65,-59,-100,-57,-57,-59,-100,-59,-69,-84,-67,-69,-66,-100,-100,-80,-100,-100,-100,-100,HW 32
-68,-61,-67,-48,-52,-57,-55,-64,-59,-54,-55,-100,-50,-70,-100,-100,-62,-100,-72,-100,-82,-100,-100,-100,-100,HW 32
-71,-59,-57,-43,-55,-60,-100,-69,-54,-53,-56,-100,-51,-100,-67,-100,-82,-73,-76,-75,-83,-100,-100,-100,-100,HW 32
-83,-66,-64,-51,-54,-63,-100,-100,-50,-100,-52,-100,-52,-100,-72,-100,-62,-63,-64,-70,-77,-67,-100,-100,-100,HW 32
-71,-59,-63,-48,-49,-63,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-65,-68,-70,-80,-81,-100,-68,-76,-100,HW 32
-75,-68,-64,-51,-60,-100,-100,-73,-100,-62,-63,-100,-52,-66,-100,-100,-69,-69,-100,-100,-76,-65,-100,-100,-100,HW 32
-68,-65,-58,-49,-67,-66,-100,-100,-100,-100,-63,-100,-58,-100,-78,-100,-62,-100,-100,-100,-71,-100,-63,-100,-100,HW 32
-65,-68,-60,-52,-52,-66,-62,-75,-100,-61,-100,-100,-57,-74,-74,-100,-57,-74,-75,-72,-71,-66,-64,-74,-100,HW 32
-70,-58,-56,-52,-49,-100,-100,-69,-50,-100,-51,-88,-52,-100,-100,-100,-70,-61,-75,-74,-74,-63,-100,-100,-100,HW 32
-69,-60,-58,-44,-58,-63,-51,-70,-52,-52,-55,-100,-56,-100,-100,-100,-76,-100,-69,-76,-73,-67,-63,-100,-100,HW 32
-72,-71,-59,-48,-56,-100,-63,-67,-63,-67,-65,-100,-61,-70,-78,-100,-52,-64,-70,-80,-82,-63,-67,-100,-100,HW 32
-72,-57,-53,-49,-52,-65,-60,-100,-62,-100,-58,-100,-100,-100,-100,-100,-57,-62,-100,-71,-71,-61,-100,-72,-100,HW 32
-68,-70,-59,-51,-47,-66,-54,-100,-55,-54,-55,-91,-57,-100,-100,-100,-54,-100,-68,-76,-77,-70,-100,-100,-100,HW 32
-71,-56,-62,-46,-100,-64,-100,-65,-57,-62,-100,-89,-100,-100,-100,-100,-63,-57,-100,-80,-67,-100,-62,-100,-100,HW 32
-65,-55,-74,-55,-59,-100,-55,-100,-53,-56,-55,-100,-100,-100,-69,-100,-100,-67,-100,-87,-73,-75,-100,-100,-100,HW 32
-70,-57,-66,-46,-53,-100,-100,-100,-100,-51,-56,-100,-54,-65,-100,-100,-60,-68,-68,-78,-71,-66,-100,-100,-100,HW 32
-70,-67,-59,-45,-100,-62,-51,-63,-48,-50,-100,-88,-45,-100,-100,-100,-77,-100,-79,-79,-74,-100,-100,-72,-100,HW 32
-77,-60,-62,-51,-56,-56,-49,-100,-47,-100,-50,-100,-100,-100,-76,-100,-65,-67,-100,-78,-79,-77,-100,-100,-100,HW 32
-70,-59,-64,-53,-56,-58,-54,-66,-100,-53,-56,-100,-54,-69,-100,-60,-56,-69,-76,-100,-78,-100,-100,-100,-100,HW 32
-76,-63,-64,-47,-56,-55,-47,-62,-50,-51,-49,-100,-48,-100,-100,-65,-100,-59,-100,-100,-79,-69,-100,-75,-100,HW 32
-83,-67,-67,-56,-48,-100,-51,-59,-50,-53,-50,-100,-51,-64,-100,-100,-81,-65,-72,-83,-76,-77,-100,-100,-100,HW 32
-67,-63,-60,-48,-50,-65,-56,-65,-55,-55,-54,-100,-50,-74,-100,-59,-61,-100,-100,-100,-73,-100,-100,-100,-100,HW 32
-69,-57,-67,-47,-45,-63,-51,-62,-54,-56,-53,-100,-51,-100,-100,-62,-65,-71,-74,-100,-80,-100,-100,-72,-100,HW 32
-70,-64,-58,-52,-77,-66,-100,-63,-47,-100,-100,-100,-51,-69,-77,-100,-61,-100,-100,-100,-79,-100,-100,-100,-100,HW 32
-72,-67,-61,-51,-47,-54,-48,-100,-100,-51,-100,-81,-48,-70,-73,-57,-59,-64,-100,-80,-73,-67,-65,-100,-100,HW 32
