aya1,STUDBME2,aya2,DIRECT-SUDESKTOP-47FLMSPmsXJ,POCO F3,Daisy,Maisaa,Mohamed���s iPhone,Aya,Redmi,CMP-lab1,Farouk,El-lab,y9,CMP_LAB1,CMP_LAB4,CMP_LAB3,CMP_LAB2,sheren,YMEM,STUDBME3,D-Link_DAP-1360,madoo,WE_B27C4B,WE_0CF411,CUFE,badra22,youssef,ahmedNasser,location
-61,-48,-80,-63,-79,-59,-78,-90,-89,-100,-55,-100,-100,-100,-58,-59,-100,-100,-58,-75,-100,-100,-74,-100,-64,-100,-100,-100,-100,HW 31
-66,-52,-77,-69,-74,-66,-75,-100,-100,-58,-55,-72,-70,-61,-100,-100,-100,-100,-77,-100,-100,-100,-75,-100,-63,-74,-100,-100,-100,HW 31
-54,-51,-77,-66,-78,-63,-78,-100,-85,-100,-58,-100,-100,-100,-100,-100,-100,-100,-60,-80,-100,-100,-68,-100,-60,-72,-100,-100,-100,HW 31
-55,-49,-73,-100,-77,-73,-83,-93,-100,-73,-68,-100,-75,-56,-60,-100,-100,-100,-65,-73,-100,-100,-58,-100,-59,-100,-70,-100,-100,HW 31
-55,-51,-84,-70,-81,-65,-81,-88,-100,-100,-100,-77,-100,-55,-100,-59,-63,-100,-68,-100,-100,-100,-56,-78,-60,-68,-100,-100,-81,HW 31
-52,-51,-73,-71,-84,-59,-75,-100,-90,-100,-61,-100,-100,-68,-64,-100,-100,-63,-100,-73,-100,-100,-56,-100,-63,-69,-74,-100,-85,HW 31
-49,-56,-85,-75,-79,-63,-72,-100,-84,-100,-58,-100,-81,-67,-100,-100,-100,-100,-54,-70,-100,-93,-60,-100,-59,-100,-100,-100,-84,HW 31
-66,-50,-71,-71,-80,-69,-76,-100,-89,-100,-63,-100,-100,-100,-58,-59,-100,-100,-100,-75,-100,-100,-58,-81,-56,-100,-100,-100,-100,HW 31
-51,-48,-74,-70,-84,-63,-73,-100,-75,-76,-100,-100,-72,-53,-59,-60,-61,-60,-62,-100,-100,-91,-50,-100,-100,-69,-100,-100,-79,HW 31
-54,-50,-82,-71,-81,-64,-74,-100,-74,-100,-61,-76,-71,-100,-65,-65,-100,-100,-55,-73,-96,-100,-50,-100,-61,-66,-100,-100,-77,HW 31
-47,-47,-84,-69,-80,-68,-71,-100,-75,-71,-63,-100,-100,-59,-56,-100,-100,-100,-100,-100,-100,-92,-58,-100,-59,-100,-74,-100,-82,HW 31
-56,-51,-79,-80,-88,-59,-75,-100,-89,-71,-59,-78,-74,-61,-100,-58,-61,-100,-56,-100,-100,-92,-58,-100,-57,-73,-100,-100,-100,HW 31
-51,-48,-79,-71,-83,-69,-73,-89,-83,-73,-57,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-95,-59,-100,-55,-72,-100,-77,-90,HW 31
-54,-46,-88,-73,-86,-64,-82,-100,-100,-100,-100,-100,-100,-66,-53,-100,-54,-55,-100,-100,-100,-90,-61,-100,-58,-100,-81,-100,-100,HW 31
-53,-49,-84,-74,-81,-58,-100,-100,-88,-100,-100,-72,-100,-63,-60,-61,-100,-100,-57,-70,-100,-100,-62,-100,-56,-61,-100,-78,-100,HW 31
