madoo,Maisaa,aya1,DIRECT-SUDESKTOP-47FLMSPmsXJ,Daisy,y9," POCO X3 NFC",Redmi,CMP-lab1,ahmedNasser,El-modarag,Aya,CMP_LAB3,CMP_LAB4,STUDBME2,sheren,RehabLab,"Mahmoud Mohamed ",01118809880,ARC3,CUFE,badra22,CMP_LAB1,WE_0CF411,STUDBME1,POCO F3,El-lab,CMP_LAB2,aya2,ARC1,Alaa1,realme 7i,01146880660,location
-45,-72,-66,-100,-88,-80,-79,-69,-76,-70,-69,-75,-100,-100,-62,-68,-100,-92,-82,-100,-100,-100,-100,-69,-50,-100,-100,-100,-100,-100,-68,-100,-100,HW 21
-62,-67,-65,-90,-84,-78,-75,-74,-83,-80,-73,-75,-100,-77,-69,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-92,-100,-66,-100,-83,HW 21
-55,-78,-73,-88,-83,-87,-75,-74,-100,-73,-73,-89,-100,-100,-69,-100,-100,-100,-100,-77,-81,-100,-100,-72,-52,-100,-100,-100,-100,-100,-79,-100,-100,HW 21
-51,-77,-66,-86,-82,-76,-79,-100,-100,-80,-72,-100,-100,-73,-70,-74,-100,-100,-83,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-65,-82,-68,-86,-77,-77,-70,-77,-100,-73,-79,-88,-76,-75,-67,-70,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,HW 21
-60,-85,-62,-90,-75,-77,-78,-100,-77,-85,-100,-88,-100,-100,-65,-79,-100,-100,-100,-79,-100,-100,-100,-67,-63,-100,-100,-75,-92,-100,-84,-100,-100,HW 21
-63,-78,-73,-100,-82,-75,-77,-68,-77,-78,-100,-89,-74,-74,-64,-78,-100,-100,-100,-81,-82,-89,-74,-100,-100,-100,-100,-73,-100,-100,-87,-100,-100,HW 21
-56,-85,-70,-100,-87,-86,-82,-75,-100,-88,-75,-100,-75,-73,-74,-100,-100,-100,-100,-85,-100,-100,-76,-73,-60,-100,-100,-76,-100,-100,-88,-100,-81,HW 21
-58,-84,-72,-100,-100,-79,-100,-100,-81,-100,-100,-90,-100,-78,-74,-100,-100,-100,-85,-87,-100,-100,-79,-74,-67,-100,-100,-100,-100,-100,-100,-100,-86,HW 21
-59,-80,-70,-100,-100,-100,-100,-85,-100,-77,-100,-100,-81,-80,-70,-100,-100,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-61,-86,-70,-100,-84,-84,-83,-75,-100,-100,-82,-100,-86,-100,-71,-72,-100,-100,-100,-90,-100,-100,-100,-70,-100,-100,-92,-82,-100,-100,-92,-100,-81,HW 21
-54,-100,-69,-100,-84,-89,-89,-100,-85,-81,-100,-100,-100,-100,-72,-78,-100,-100,-80,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,HW 21
-61,-90,-82,-100,-90,-83,-94,-86,-100,-91,-79,-91,-82,-86,-79,-100,-100,-90,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,HW 21
-58,-85,-85,-100,-100,-86,-83,-100,-100,-100,-100,-100,-82,-100,-77,-100,-100,-100,-100,-82,-100,-100,-100,-76,-100,-100,-100,-83,-100,-100,-89,-100,-81,HW 21
