madoo,aya1,Daisy,STUDBME2,ahmedNasser,Aya,"Mahmoud Mohamed ",Redmi,CMP-lab1,ARC3,DIRECT-SUDESKTOP-47FLMSPmsXJ,El-modarag,Alaa1,Maisaa,CUFE,CMP_LAB1,badra22,CMP_LAB2,WE_0CF411,sheren,realme 7i,STUDBME1,CMP_LAB3,El-lab,khhh_h,CMP_LAB4,Ramadan,POCO F3,location
-53,-67,-73,-64,-83,-87,-100,-55,-67,-100,-87,-100,-82,-75,-100,-71,-100,-100,-73,-66,-100,-100,-100,-100,-100,-70,-100,-100,HW 22
-52,-67,-75,-58,-83,-93,-87,-56,-100,-100,-100,-75,-84,-75,-79,-73,-100,-100,-68,-76,-100,-100,-74,-75,-100,-100,-100,-100,HW 22
-55,-68,-81,-65,-81,-88,-85,-70,-78,-73,-100,-75,-78,-79,-100,-76,-100,-100,-100,-65,-100,-100,-100,-100,-100,-74,-100,-100,HW 22
-55,-68,-71,-64,-74,-77,-86,-64,-68,-100,-87,-100,-81,-68,-73,-100,-85,-68,-70,-64,-100,-100,-100,-100,-77,-68,-100,-100,HW 22
-49,-73,-85,-59,-78,-68,-88,-60,-100,-76,-86,-69,-78,-70,-80,-100,-90,-72,-68,-57,-82,-52,-74,-100,-100,-73,-100,-100,HW 22
-52,-76,-79,-62,-79,-81,-81,-71,-100,-71,-100,-74,-78,-67,-100,-74,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-46,-69,-85,-58,-84,-76,-78,-69,-100,-100,-84,-69,-70,-71,-73,-100,-100,-68,-73,-56,-100,-100,-65,-100,-100,-100,-100,-100,HW 22
-46,-63,-78,-50,-78,-86,-85,-65,-77,-79,-87,-68,-77,-77,-100,-100,-100,-63,-74,-65,-82,-45,-100,-85,-100,-63,-67,-100,HW 22
-58,-73,-79,-52,-71,-71,-88,-50,-69,-100,-80,-68,-68,-67,-80,-65,-100,-64,-69,-67,-82,-100,-65,-100,-100,-63,-53,-100,HW 22
-47,-64,-77,-58,-90,-72,-91,-58,-100,-72,-86,-100,-67,-62,-71,-100,-100,-70,-100,-64,-91,-48,-67,-100,-100,-100,-58,-100,HW 22
-47,-55,-72,-48,-80,-81,-88,-74,-74,-74,-82,-76,-82,-71,-100,-58,-100,-100,-58,-69,-100,-50,-61,-100,-100,-58,-50,-100,HW 22
-53,-53,-68,-53,-74,-91,-79,-60,-100,-100,-82,-79,-76,-83,-100,-100,-100,-69,-67,-68,-100,-100,-100,-100,-73,-100,-52,-100,HW 22
-50,-60,-81,-61,-70,-87,-77,-70,-100,-70,-80,-100,-76,-75,-100,-100,-100,-71,-66,-56,-91,-100,-70,-100,-76,-100,-55,-100,HW 22
-50,-57,-79,-69,-85,-77,-73,-73,-74,-100,-82,-69,-77,-86,-100,-65,-100,-100,-67,-64,-100,-100,-100,-100,-100,-68,-46,-100,HW 22
-53,-61,-90,-66,-68,-100,-73,-61,-73,-100,-89,-70,-84,-76,-83,-76,-100,-100,-100,-60,-100,-100,-100,-100,-68,-100,-58,-100,HW 22
-50,-72,-90,-68,-80,-89,-78,-79,-100,-80,-91,-76,-79,-83,-100,-100,-100,-68,-79,-64,-100,-100,-100,-100,-79,-100,-68,-100,HW 22
-41,-71,-76,-62,-67,-83,-75,-68,-84,-100,-88,-100,-88,-77,-84,-72,-100,-100,-71,-56,-100,-55,-71,-100,-100,-100,-100,-100,HW 22
-37,-66,-78,-60,-72,-100,-87,-59,-100,-100,-85,-74,-72,-73,-72,-61,-100,-62,-100,-55,-100,-100,-62,-100,-56,-100,-74,-100,HW 22
-48,-69,-80,-50,-73,-78,-85,-62,-100,-72,-88,-100,-80,-65,-100,-69,-80,-100,-69,-51,-85,-100,-69,-100,-55,-100,-66,-100,HW 22
-57,-61,-82,-51,-78,-71,-83,-62,-100,-100,-78,-68,-81,-66,-100,-67,-100,-100,-69,-52,-100,-100,-100,-100,-48,-67,-100,-100,HW 22
-45,-60,-82,-53,-89,-69,-100,-55,-69,-100,-84,-100,-71,-74,-71,-66,-100,-100,-69,-48,-82,-100,-67,-77,-51,-100,-64,-100,HW 22
-50,-61,-83,-56,-82,-79,-85,-62,-72,-76,-83,-73,-73,-74,-100,-100,-100,-100,-69,-51,-87,-48,-100,-100,-53,-67,-69,-100,HW 22
-44,-59,-87,-68,-76,-80,-86,-57,-81,-100,-91,-74,-70,-65,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-56,-74,-100,-100,HW 22
-48,-74,-88,-60,-81,-77,-86,-71,-100,-77,-88,-75,-75,-74,-100,-100,-100,-71,-74,-45,-81,-100,-72,-100,-74,-100,-70,-100,HW 22
-61,-69,-72,-58,-75,-80,-93,-67,-100,-100,-84,-76,-80,-77,-100,-71,-100,-100,-66,-51,-92,-48,-100,-100,-100,-100,-68,-100,HW 22
-53,-59,-71,-64,-76,-72,-91,-73,-73,-100,-83,-68,-75,-82,-74,-64,-100,-72,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-54,-64,-92,-63,-74,-88,-70,-63,-100,-100,-100,-71,-75,-71,-100,-100,-100,-100,-73,-61,-100,-53,-73,-100,-83,-100,-84,-100,HW 22
-47,-71,-75,-63,-71,-89,-81,-61,-73,-100,-83,-70,-75,-66,-75,-100,-100,-100,-64,-47,-100,-100,-100,-100,-100,-67,-100,-84,HW 22
