FaryLink_260CCF,STUDBME2,adel,sheren,aya1,STUDBME1,Daisy,Redmi,Ramadan,Ammar's samsung,ARC3,"Mahmoud Mohamed ",El-modarag,Aya,badra22,CMP_LAB2,CUFE,WE_0CF411,Alaa1,ahmedNasser,Farouk,Maisaa,Mariooma,CMP_LAB3,CMP_LAB4,RehabLab,CMP_LAB1,ARC1,location
-83,-62,-93,-79,-76,-42,-90,-56,-52,-66,-100,-75,-65,-66,-100,-77,-79,-76,-69,-68,-100,-100,-100,-74,-76,-100,-75,-87,HW 11
-67,-59,-80,-71,-63,-100,-83,-59,-54,-100,-63,-73,-100,-62,-100,-69,-73,-69,-64,-67,-100,-80,-100,-69,-69,-100,-68,-100,HW 11
-72,-53,-80,-74,-64,-47,-75,-61,-100,-65,-100,-100,-71,-66,-100,-100,-100,-69,-67,-63,-73,-59,-100,-100,-72,-100,-100,-100,HW 11
-63,-56,-100,-72,-65,-100,-84,-61,-59,-69,-100,-74,-66,-69,-100,-66,-72,-70,-57,-71,-100,-56,-100,-68,-100,-100,-67,-100,HW 11
-63,-55,-74,-74,-65,-100,-83,-59,-100,-75,-66,-100,-65,-62,-100,-100,-71,-100,-66,-62,-100,-59,-69,-69,-100,-100,-100,-100,HW 11
-71,-68,-100,-76,-69,-47,-92,-66,-59,-100,-100,-100,-67,-72,-100,-100,-100,-78,-70,-74,-100,-67,-100,-100,-74,-100,-76,-100,HW 11
-70,-63,-100,-72,-100,-40,-78,-60,-100,-69,-67,-100,-71,-76,-100,-72,-100,-100,-57,-70,-100,-100,-100,-72,-100,-100,-100,-84,HW 11
-69,-62,-100,-74,-78,-100,-93,-70,-54,-73,-100,-80,-67,-76,-100,-71,-78,-100,-66,-74,-100,-100,-100,-71,-71,-100,-74,-100,HW 11
-75,-62,-84,-74,-67,-45,-77,-70,-56,-68,-100,-71,-100,-62,-79,-72,-100,-100,-62,-61,-100,-100,-100,-100,-100,-83,-72,-84,HW 11
-68,-62,-100,-74,-67,-48,-78,-53,-100,-70,-100,-100,-68,-81,-100,-73,-77,-100,-66,-61,-70,-100,-100,-70,-70,-100,-70,-100,HW 11
-77,-70,-95,-85,-72,-100,-87,-68,-63,-85,-100,-76,-71,-70,-100,-100,-82,-100,-60,-72,-74,-100,-100,-100,-72,-100,-75,-100,HW 11
-74,-61,-81,-78,-73,-45,-77,-50,-55,-67,-100,-70,-66,-78,-84,-68,-77,-72,-73,-67,-100,-100,-100,-72,-71,-100,-73,-100,HW 11
-75,-69,-88,-75,-70,-46,-87,-54,-62,-70,-57,-72,-68,-72,-100,-100,-76,-68,-66,-74,-100,-100,-100,-69,-68,-100,-100,-100,HW 11
-76,-69,-89,-82,-74,-100,-88,-48,-47,-81,-59,-76,-75,-68,-100,-100,-100,-100,-69,-72,-100,-100,-100,-100,-73,-100,-72,-100,HW 11
-77,-64,-100,-74,-73,-56,-82,-37,-44,-73,-100,-85,-69,-74,-100,-69,-77,-100,-56,-73,-100,-100,-100,-69,-69,-100,-69,-100,HW 11
-78,-69,-100,-76,-71,-100,-88,-51,-54,-79,-64,-76,-71,-66,-100,-100,-100,-100,-59,-79,-100,-100,-100,-100,-71,-100,-100,-100,HW 11
-80,-73,-100,-78,-75,-100,-100,-56,-46,-75,-66,-92,-70,-72,-100,-100,-100,-100,-47,-82,-100,-100,-74,-100,-78,-100,-77,-100,HW 11
-83,-72,-100,-79,-74,-100,-84,-61,-57,-79,-72,-93,-65,-71,-100,-73,-100,-100,-46,-80,-100,-100,-100,-100,-100,-100,-100,-100,HW 11
-85,-74,-85,-79,-79,-100,-88,-73,-53,-87,-65,-100,-63,-60,-100,-100,-100,-100,-49,-82,-71,-100,-100,-100,-66,-100,-64,-100,HW 11
-80,-72,-100,-74,-83,-41,-87,-100,-48,-100,-100,-83,-100,-68,-100,-71,-100,-77,-49,-83,-100,-100,-78,-100,-100,-100,-73,-100,HW 11
-77,-58,-100,-72,-76,-100,-88,-50,-100,-73,-58,-80,-65,-58,-100,-100,-100,-100,-48,-86,-100,-100,-100,-75,-77,-100,-100,-86,HW 11
-82,-68,-100,-77,-77,-100,-85,-58,-54,-100,-100,-100,-76,-56,-100,-100,-100,-100,-73,-80,-100,-100,-100,-100,-100,-89,-100,-100,HW 11
-100,-72,-100,-79,-78,-45,-90,-70,-63,-77,-100,-100,-62,-59,-100,-77,-100,-87,-63,-93,-100,-100,-100,-76,-100,-100,-100,-100,HW 11
-100,-65,-100,-78,-81,-100,-91,-68,-100,-86,-73,-100,-57,-54,-100,-78,-82,-100,-57,-86,-100,-100,-100,-80,-79,-100,-77,-100,HW 11
-100,-59,-100,-74,-74,-100,-87,-74,-64,-84,-70,-100,-59,-44,-100,-100,-100,-100,-63,-83,-78,-100,-75,-100,-78,-100,-78,-83,HW 11
-91,-70,-100,-74,-73,-53,-85,-100,-63,-82,-100,-100,-59,-43,-100,-79,-100,-100,-69,-91,-100,-100,-75,-77,-73,-100,-100,-100,HW 11
-89,-69,-100,-78,-77,-100,-85,-64,-53,-86,-73,-100,-57,-66,-100,-68,-75,-100,-59,-100,-100,-100,-100,-70,-68,-100,-70,-100,HW 11
-87,-62,-85,-78,-72,-34,-85,-55,-54,-81,-100,-82,-56,-81,-100,-69,-100,-100,-61,-84,-100,-100,-74,-100,-100,-100,-73,-90,HW 11
-79,-67,-87,-71,-72,-36,-91,-55,-56,-76,-100,-86,-60,-54,-100,-100,-73,-100,-62,-78,-100,-100,-69,-69,-69,-100,-100,-100,HW 11
-84,-58,-87,-74,-78,-100,-88,-74,-55,-100,-100,-82,-60,-52,-100,-100,-100,-100,-62,-83,-73,-100,-72,-100,-100,-100,-71,-100,HW 11
-89,-64,-86,-76,-71,-38,-82,-56,-59,-74,-100,-100,-54,-50,-100,-76,-100,-100,-68,-71,-100,-100,-71,-73,-100,-100,-76,-100,HW 11
-84,-62,-89,-71,-72,-46,-95,-52,-53,-100,-72,-79,-64,-49,-100,-100,-78,-74,-58,-88,-100,-100,-100,-72,-100,-100,-100,-100,HW 11
-89,-64,-100,-84,-70,-100,-84,-73,-57,-85,-73,-87,-60,-60,-100,-71,-100,-100,-65,-83,-76,-100,-71,-100,-75,-87,-72,-100,HW 11
-89,-67,-100,-73,-71,-44,-85,-64,-54,-74,-100,-100,-65,-57,-100,-100,-100,-77,-68,-83,-100,-100,-100,-76,-100,-84,-100,-100,HW 11
-100,-65,-100,-75,-68,-45,-100,-58,-53,-73,-100,-85,-63,-59,-85,-100,-100,-100,-66,-80,-100,-100,-100,-72,-69,-100,-73,-100,HW 11
-84,-57,-100,-74,-70,-100,-83,-67,-56,-71,-100,-100,-62,-57,-100,-72,-100,-100,-65,-82,-100,-100,-100,-100,-100,-100,-100,-100,HW 11
-82,-63,-100,-76,-71,-41,-87,-55,-54,-82,-100,-85,-100,-66,-100,-74,-80,-77,-61,-82,-100,-100,-100,-77,-75,-100,-76,-100,HW 11
-92,-63,-100,-77,-72,-100,-87,-72,-58,-100,-100,-100,-62,-58,-100,-100,-80,-100,-64,-90,-71,-100,-100,-100,-100,-100,-100,-100,HW 11
-88,-58,-100,-69,-65,-100,-81,-70,-61,-73,-77,-100,-67,-50,-100,-100,-100,-100,-50,-88,-100,-100,-69,-70,-100,-100,-100,-100,HW 11
-89,-64,-100,-83,-73,-41,-93,-63,-100,-83,-100,-86,-67,-57,-100,-74,-100,-76,-61,-75,-100,-100,-100,-73,-76,-100,-100,-100,HW 11
-88,-72,-100,-77,-78,-100,-90,-68,-50,-86,-100,-100,-65,-57,-100,-100,-100,-76,-52,-84,-100,-100,-100,-100,-100,-100,-100,-100,HW 11
-84,-65,-91,-73,-76,-100,-87,-63,-49,-81,-100,-87,-62,-67,-100,-76,-100,-77,-56,-87,-100,-100,-72,-76,-100,-100,-75,-100,HW 11
-80,-75,-89,-73,-72,-42,-81,-100,-100,-84,-100,-100,-65,-62,-100,-100,-84,-77,-55,-85,-100,-100,-100,-100,-69,-100,-72,-100,HW 11
-91,-68,-100,-74,-72,-100,-82,-58,-52,-100,-62,-100,-62,-70,-100,-72,-100,-100,-52,-82,-100,-100,-74,-72,-100,-93,-72,-100,HW 11
-87,-63,-100,-71,-77,-44,-83,-74,-54,-100,-100,-86,-69,-68,-100,-100,-100,-74,-56,-83,-100,-100,-100,-74,-74,-82,-100,-100,HW 11
-84,-70,-100,-74,-68,-43,-100,-67,-49,-100,-69,-100,-64,-57,-100,-100,-80,-100,-56,-80,-100,-100,-100,-100,-100,-100,-100,-100,HW 11
-83,-61,-87,-76,-69,-100,-92,-54,-49,-82,-100,-92,-100,-61,-100,-100,-100,-100,-57,-77,-75,-100,-76,-72,-100,-100,-100,-100,HW 11
-83,-62,-88,-68,-78,-44,-87,-65,-54,-79,-65,-100,-64,-73,-100,-100,-100,-72,-52,-80,-72,-100,-100,-100,-75,-100,-100,-82,HW 11
-80,-62,-94,-73,-77,-100,-90,-55,-52,-79,-100,-100,-59,-69,-100,-73,-84,-100,-54,-78,-100,-100,-100,-100,-100,-100,-100,-100,HW 11
-77,-73,-100,-74,-78,-100,-86,-70,-49,-100,-69,-92,-69,-75,-100,-100,-100,-77,-46,-100,-100,-100,-73,-74,-74,-100,-100,-100,HW 11
-88,-71,-100,-80,-80,-46,-89,-53,-54,-79,-100,-100,-65,-70,-100,-100,-100,-76,-48,-84,-100,-46,-77,-100,-75,-100,-73,-77,HW 11
-83,-69,-88,-76,-74,-100,-91,-58,-50,-100,-68,-100,-65,-68,-100,-75,-100,-100,-54,-77,-100,-53,-100,-74,-75,-100,-73,-77,HW 11
-72,-71,-82,-80,-71,-43,-100,-71,-53,-84,-100,-75,-100,-70,-100,-79,-100,-100,-51,-77,-79,-51,-100,-100,-82,-100,-100,-100,HW 11
-78,-80,-100,-82,-84,-46,-92,-65,-100,-100,-100,-81,-61,-71,-100,-77,-100,-76,-50,-80,-100,-51,-100,-100,-76,-100,-77,-74,HW 11
-79,-71,-100,-80,-67,-100,-89,-60,-47,-78,-59,-100,-63,-74,-100,-79,-82,-100,-50,-80,-100,-63,-100,-78,-100,-90,-100,-100,HW 11
-76,-66,-100,-75,-73,-43,-100,-100,-51,-80,-100,-78,-66,-71,-100,-71,-100,-100,-50,-84,-100,-100,-100,-69,-70,-100,-72,-100,HW 11
-75,-62,-100,-74,-72,-38,-89,-72,-100,-100,-61,-100,-62,-72,-100,-74,-78,-80,-58,-78,-100,-56,-100,-100,-100,-100,-73,-100,HW 11
-76,-69,-100,-77,-73,-100,-88,-70,-51,-100,-59,-80,-64,-70,-100,-100,-87,-100,-63,-84,-100,-75,-100,-100,-100,-100,-100,-100,HW 11
-82,-73,-86,-72,-66,-100,-84,-53,-48,-81,-100,-82,-67,-74,-100,-100,-100,-100,-56,-86,-100,-62,-67,-100,-74,-100,-77,-100,HW 11
-78,-62,-92,-71,-64,-34,-91,-49,-49,-100,-65,-82,-66,-75,-100,-68,-76,-100,-64,-78,-100,-79,-100,-100,-100,-100,-69,-100,HW 11
-100,-72,-87,-69,-60,-100,-82,-56,-51,-100,-60,-100,-67,-78,-100,-71,-100,-100,-72,-75,-72,-100,-72,-72,-71,-100,-72,-100,HW 11
-77,-60,-81,-72,-72,-38,-92,-55,-55,-75,-100,-81,-70,-64,-87,-100,-78,-75,-52,-79,-100,-54,-100,-100,-100,-100,-100,-100,HW 11
-73,-58,-91,-71,-71,-39,-86,-72,-46,-78,-61,-82,-68,-70,-100,-100,-100,-100,-56,-81,-100,-63,-100,-72,-100,-100,-100,-100,HW 11
-91,-60,-83,-79,-76,-100,-88,-68,-47,-74,-61,-80,-67,-77,-100,-100,-100,-73,-66,-76,-100,-100,-100,-71,-100,-100,-100,-100,HW 11
-73,-60,-85,-74,-70,-45,-100,-67,-51,-72,-100,-100,-62,-75,-100,-100,-100,-76,-59,-100,-100,-50,-100,-100,-74,-100,-72,-100,HW 11
-82,-58,-81,-70,-71,-44,-83,-61,-100,-69,-55,-72,-71,-69,-100,-74,-81,-100,-66,-83,-100,-57,-100,-100,-100,-100,-100,-100,HW 11
-65,-64,-89,-86,-71,-100,-100,-58,-51,-69,-100,-82,-71,-75,-100,-100,-80,-73,-58,-100,-100,-54,-100,-85,-71,-100,-71,-100,HW 11
-75,-65,-85,-81,-76,-49,-94,-58,-57,-77,-100,-80,-100,-78,-100,-73,-74,-100,-63,-72,-100,-53,-100,-70,-72,-100,-72,-75,HW 11
-79,-68,-85,-73,-70,-100,-85,-56,-100,-71,-62,-74,-70,-74,-100,-100,-82,-100,-61,-63,-100,-66,-100,-67,-100,-100,-100,-100,HW 11
-81,-68,-86,-73,-66,-100,-92,-53,-62,-65,-100,-79,-100,-75,-100,-100,-79,-71,-64,-69,-100,-100,-100,-100,-71,-100,-69,-100,HW 11
-76,-64,-100,-70,-67,-48,-81,-55,-56,-65,-58,-75,-69,-77,-100,-72,-75,-72,-72,-65,-100,-62,-100,-100,-100,-100,-69,-100,HW 11
