El-lab,El-modarag,Redmi,youssef,Farouk,Ramadan,badra22,STUDBME2,ARC3,CMP_LAB2,CMP_LAB3,STUDBME1,CMP_LAB1,CMP_LAB4,CMP-lab1,ARC1,BMEStudentLab3,STUDBME3,location
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-57,-100.0,-75.0,-72,-100.0,-100.0,-100,-68.0,-100.0,-100.0,-100.0,12
-100.0,-67.0,-56.0,-100.0,-72.0,-51.0,-100.0,-72,-60.0,-71.0,-72,-100.0,-72.0,-71,-100.0,-100.0,-100.0,-100.0,4
-69.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-54.0,-53,-100.0,-53.0,-53,-100.0,-100.0,-100.0,-100.0,10
-100.0,-71.0,-57.0,-100.0,-100.0,-66.0,-100.0,-55,-100.0,-65.0,-64,-100.0,-66.0,-64,-100.0,-100.0,-100.0,-100.0,7
-72.0,-100.0,-70.0,-100.0,-74.0,-100.0,-100.0,-48,-100.0,-100.0,-100,-100.0,-61.0,-63,-58.0,-100.0,-100.0,-100.0,9
-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-45,-100.0,-100.0,-64,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-53,-100.0,-45.0,-50,-66.0,-50.0,-51,-100.0,-100.0,-100.0,-100.0,11
-100.0,-70.0,-56.0,-100.0,-100.0,-100.0,-100.0,-68,-62.0,-100.0,-67,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-57.0,-64.0,-100.0,-100.0,-53.0,-100.0,-69,-73.0,-68.0,-70,-100.0,-70.0,-68,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-54,-100.0,-100.0,-100,-100.0,-100.0,-100,-71.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-53,-100.0,-51.0,-100,-100.0,-49.0,-100,-66.0,-100.0,-100.0,-100.0,11
-48.0,-100.0,-79.0,-100.0,-87.0,-100.0,-56.0,-57,-100.0,-73.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-68.0,-100.0,-100.0,-71.0,-85.0,-56,-81.0,-71.0,-69,-48.0,-72.0,-72,-69.0,-100.0,-100.0,-100.0,7
-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-72,-100.0,-100.0,-72,-75.0,-100.0,-100.0,-100.0,12
